dimension,level,title,body
IPRL,3,Intellectual Property Readiness Level 3,"The team has considered which forms of IPR are most important and should be protected, and described possible IPR in enough detail to judge protectability. Protection options are evaluated via own searches of publications and state-of-the-art solutions, with possible initial professional checks for prior art or conflicting IPR."
IPRL,2,Intellectual Property Readiness Level 2,"Different possible forms of IPR that exist or could arise during development are mapped, and some specific IPR ideas exist but are still vague and not well defined. IP-related agreements and ownership (including inventors/creators) are clarified, along with awareness of relevant IP policies and potential contractual restrictions."
IPRL,1,Intellectual Property Readiness Level 1,"There is only a hypothesis that results or ideas might contain some form of IPR and some speculative ideas about what that IPR could be. The possible IPR is not described or documented, and knowledge of legal aspects (ownership, use-rights, etc.), uniqueness, and the technical/state-of-the-art landscape is very limited."
TMRL,9,Team Readiness Level 9,"The organization is high-performing and well-functioning, with strong cooperation and a good social environment. All levels are engaged in continuous learning and development, culture/structure/processes are continuously improved, incentives and rewards motivate the whole organization to reach goals, and the management team is maintained, developed and consistently performs over time."
TMRL,8,Team Readiness Level 8,"There is a clear leadership and management team with relevant professional experience, supported by a competent and diverse board and advisors that are actively used. HR policies, processes and roles ensure good HR practices and team diversity, planned recruitments are underway to secure needed competencies, capacity and diversity, and all levels of the organization are well trained and motivated."
TMRL,7,Team Readiness Level 7,"The team is well-functioning with clear roles, and goals, vision, purpose and culture are clearly articulated and documented to support team and organizational development. There is a plan to build the necessary organization and grow the team over the longer term (~2 years), processes/systems for continuous learning and staff development are implemented, and the board and advisors are operational and support both business and organizational development."
TMRL,6,Team Readiness Level 6,"A complementary and diverse founding team is in place and capable of starting to build the business, with all near-term key competencies and capacity covered, including a clear CEO. The team is committed with shared responsibility and accountability, recruitment of advisors/board members (with attention to diversity) has started, and there is awareness of risks to team performance such as conflicts, burnout/mental health and politics."
TMRL,5,Team Readiness Level 5,"An initial founding team works together, all spending significant time and jointly holding the main competencies and capacity needed to start building the startup, with clarified roles, shared goals/visions and clear commitment (e.g. time spent). The team has a signed ownership-shares agreement that is balanced, incentivizing and reflects past and future contributions, is actively working to add further competencies and capacity with diversity in mind, and has initial systems/processes/tools to share knowledge and information."
TMRL,4,Team Readiness Level 4,"The team (or individual) has a clear idea of how to bring the idea to market (e.g. startup, IP deal) and at least one committed champion driving it forward. Several, though not all, necessary competencies are present across multiple individuals, a plan has been initiated to find needed additional competencies and capacity (e.g. via a requirement profile) with attention to diversity, and the team has begun discussions on roles, commitment and ownership going forward."
TMRL,3,Team Readiness Level 3,"One or several individuals possess some, but not all, of the competencies and capacity needed to start verifying the idea. Needs and gaps in competencies, capacity and team diversity are identified, and an initial near-term (<1 year) plan exists for how to find the prioritized missing competencies."
TMRL,2,Team Readiness Level 2,"Only limited competencies and/or capacity are present (typically 1–2 people), with a first idea of which additional persons/competencies will be needed to verify and develop the idea. There is also a first idea of the overall goal for the project."
TMRL,1,Team Readiness Level 1,"Typically a single individual is involved who lacks necessary competencies in key areas such as technology and business. There is little insight into which competencies and other resources (e.g. partners, service providers) are needed to properly verify and develop the idea."
SRL,9,Sustainability Readiness Level 9,"The company’s sustainability work has clear, measurable benefits where positive effects outweigh negative ones, and the overall system effects (outputs and outcomes) are well defined and communicable. Sustainability opportunities and risks are fully embedded in company culture, and suppliers/partners are chosen from a sustainability perspective."
SRL,8,Sustainability Readiness Level 8,"Operational planning integrates relevant long-term standards (e.g. ISO 14001, 9001, 26000) to support credibility and development of the business. Sales and other metrics show the business model is both viable and sustainable (e.g. customer acquisition costs), and sustainability impacts (positive and negative) are communicated transparently to stakeholders."
SRL,7,Sustainability Readiness Level 7,"Sustainability information that helps customers make purchase decisions is communicated transparently, and a baseline impact measurement is established to monitor and report created impact. Supplier requirements (e.g. code of conduct) are documented and validated, sustainability reporting routines are integrated into follow-up activities, and a regular “sanity check” confirms that sustainability benefits outweigh related costs and negative effects."
SRL,6,Sustainability Readiness Level 6,"Objectives, internal and external metrics and actions for sustainability are validated and embedded in business plans (strategy, action plan, roadmap). The company has validated insights into both the benefits/values and the possible negative consequences for customers/users, and acts on sustainability-related KPIs that reduce risks and increase positive effects for them."
SRL,5,Sustainability Readiness Level 5,"Relevant sustainability areas are identified and prioritised by impact, with associated business opportunities and risks clearly defined. Objectives, potential metrics and actions for sustainability are developed and integrated into business plans, and an initial draft of economic, social and ecological outputs/outcomes is formulated and tested with potential customers and partners."
SRL,4,Sustainability Readiness Level 4,"There is initial stakeholder and supplier verification of the hypothesis about both positive and negative social and environmental impacts of the proposed product, business concept and activities in the intended ecosystem. Storytelling about sustainability and Agenda 2030, based on customer verification, is linked to the business concept and can be communicated to stakeholders."
SRL,3,Sustainability Readiness Level 3,"The team’s sustainability competences and the company’s business approach are described, and a draft “Why”/mission outlines what the company aims to achieve in sustainability terms. A draft sustainable business model and sustainable value proposition are evaluated against the market and identified competitors’ offerings."
SRL,2,Sustainability Readiness Level 2,"First customer verification of the hypothesis about both positive and negative social and environmental impacts of the product, business concept and activities has been carried out. There is some understanding of the benefits of a sustainable business model and a formulated hypothesis covering these positive and negative impacts for stakeholders."
SRL,1,Sustainability Readiness Level 1,"The team has little or no knowledge of Agenda 2030 and sustainable development, and limited insight into the benefits of a sustainable business model. There is only a vague or absent idea of how sustainability could be integrated to address the problem the proposed business and operations should solve."
FRL,9,Funding Readiness Level 9,"Next funding needs are clearly defined based on scale-up plans, company performance, and financial forecasts, with a long-term funding strategy for scaling operations in place. Suitable next-step funding sources have expressed firm interest for an extended runway, and the pitch/presentation, business plan and all supporting material are continuously updated."
FRL,8,Funding Readiness Level 8,"Financial monitoring and accounting systems give control over current financial status and future funding needs, and the funding roadmap is updated according to forecasts and business progress. Funding is secured for at least ~12 months of runway (or via predictable recurring revenue), and the funding presentation includes the complete business plan."
FRL,7,Funding Readiness Level 7,"Basic accounting provides a clear view of financial status and outlines different funding-need scenarios, while the funding roadmap details target sources over time plus backup alternatives. There are concrete term-sheet-level discussions with clearly interested funders, and the pitch includes all necessary supporting material to pass due diligence."
FRL,6,Funding Readiness Level 6,"Funding needs are clarified with detailed financial projections, including cash-flow, and the funding roadmap is updated based on feedback and extended over multiple rounds (e.g. seed, Series A). Discussions have started with relevant funding sources (typically investors) about amounts, purpose and valuation, and the funding pitch has been improved based on feedback from relevant audiences."
FRL,5,Funding Readiness Level 5,"Funding needs over time are outlined with initial financial projections (P&L, budget), and a possible funding roadmap with preferred funding sources/investors and their impact on the cap table is defined. Some additional funding for next development steps may be secured, though more is needed for later stages, and the pitch has been tested on relevant audiences (e.g. investors or submitted applications)."
FRL,4,Funding Readiness Level 4,"A development/project plan for about 6–12 months is defined with cost budget, key risks and value-driving milestones, and relevant funding sources for the next stages are identified. Enough funding is secured to initiate at least the first steps of the plan, and a formal funding pitch/presentation (oral and written, such as a pitch deck or application) is in place."
FRL,3,Funding Readiness Level 3,"A draft development/project plan (6–12 months) with costs and activities provides insight into overall funding needs, and there is an understanding of main funding options, their types (own, soft, equity, loans) and requirements. Sufficient soft funding (typically grants) is secured for initial validation, and a first funding presentation describing key aspects such as market potential has been prepared."
FRL,2,Funding Readiness Level 2,"There is some insight into the costs and activities needed for initial validation (about 1–6 months), and funding sources for this phase have been identified with efforts underway to secure them. A basic description of the business concept (e.g. NABC) exists that can be used to seek initial funding."
FRL,1,Funding Readiness Level 1,"The team has little insight into the costs, activities and overall funding needs for validating the idea, and little understanding of different funding options. No funding is available or secured, and only an initial idea description exists that lacks key funding-relevant aspects such as a clear business concept and market potential."
