id,dimension,field,option_1,score_1,next_1,option_2,score_2,next_2,option_3,score_3,next_3,option_4,score_4,next_4,terminal
402,FRL,Funding,"You initiated discussions with relevant funding sources (typically investors) on the ask (how much, for what, valuation) and updated your funding roadmap based on feedback to extend over time",6,501,"You defined a possible funding roadmap with desirable funding sources/investors and impact on the cap table, and have possibly secured additional funding for the next step(s) of the development plan",5,501,"You defined a development/project plan (e.g., 6–12 months) with cost budget, key risks, and value-driving milestones, and secured sufficient funding to initiate at least the first step(s) of it",4,501,"Your development/project plan (6–12 months) is not clear, or the funding is insufficient for its first step(s)",,403,
403,FRL,Funding,"You secured sufficient funding to initiate validation, typically soft funding (grants) and drafted costs and activities in a development/project plan (6–12 months)",3,501,You identified funding sources for initial validation and have insight into costs and relevant activities for initial validation,2,501,"No funding available or secured, and little insight into costs and relevant activities for validation of the idea",1,501,,,501,
501,TMRL,Team,"The organization is high-performing and well-functioning (cooperation, social environment, HR policies, diverse board, etc.), and incentives/rewards are aligned to motivate the whole organization to reach goals and perform well. Organizational culture, structure, and processes are continuously improved and developed",9,601,"All levels of the organization are properly trained and motivated, with HR policies/processes/responsibles in place to assure good HR practices and team diversity. A competent and diverse board and relevant advisors are in place and professionally used",8,601,"Goals, vision, purpose, and culture are clearly articulated and documented to support team and organizational development. The board and advisors are operational and support business and organizational development",7,601,"You don’t have advisors supporting the business; the goals, vision, purpose, and culture are not clearly documented; and/or the team does not have all needed competencies and capacity to build the business",,502,
502,TMRL,Team,"A committed, complementary, and diverse founding team is in place where everyone feels responsibility/accountability and is capable of starting to build the business. Recruitment of advisors and/or board members has started (keeping in mind board diversity)",6,601,The team has the main needed competencies and capacity to start building the startup and has agreed on their respective shares (signed agreement). Initial systems/processes/tools are in place to coordinate the team,5,601,"Typically multiple individuals have several (not all) necessary competencies, and a plan is in place and initiated to find the additional competencies and capacity (keeping in mind team diversity)",4,601,"The competencies in the team are limited, and the plan to find those necessary is not in place and initiated yet",,503,
503,TMRL,Team,"One or several individuals possess some (not all) necessary competencies and capacity to start verifying the idea, and an initial plan is defined for how to find the prioritized competencies needed",3,601,"You are 1–2 persons in the team with limited competencies and/or capacity, but with a first idea of which additional persons/competencies could be needed to verify/develop the idea",2,601,You are an individual lacking necessary competencies in key areas such as technology and business,1,601,,,601,
601,BRL,Business ,"The business model is proven to meet expectations on profit, growth, scalability, and sustainability",9,701,"Sales and metrics show that the business model is viable, and sustainability is integrated and used to create business value",8,701,Your business model is validated by commercial sales to several customers,7,701,"You have none or few sales, insufficient to validate the business model",,602,
602,BRL,Business ,"Your business model is validated by target customers via pilots, test sales, pre-orders, etc., and your key sustainability metrics are proposed",6,701,"You’ve got market feedback on key business-model assumptions such as pricing, competitive landscape, and target-market profile",5,701,"Your first calculations indicate an economically viable business model, and you are aware of its positive and negative sustainability impacts",4,701,"You don’t have first calculations of main costs and revenues (including pricing) and their possible economic viability, and/or your target-market description is not well defined",,603,
603,BRL,Business ,"You have a description of the business model, target market(s), and competitive landscape",3,701,"You can describe the possible business concept, market opportunity, and competition; you also have some insight into sustainability aspects of the business",2,701,"You have no or an unclear description of the business idea, market potential, and competition",1,701,,,701,
701,SRL,Sustainability,The sustainability strategy contributes to competitiveness and revenue growth and makes a proven contribution to relevant parts of the UN’s sustainable development goals,9,,The business model and operations are fine-tuned based on monitoring and evaluation using sustainability metrics in preparation for scaling/growth,8,,"Monitoring, reporting, and communication on sustainability outcomes and impact are implemented and may be valuable for customers when making purchase decisions",7,,"There is no monitoring, reporting, or transparent communication regarding sustainability information",,702,
702,SRL,Sustainability,Sustainability is rooted in the entire team and ingrained across the business via objectives and possible metrics,6,,"Sustainability is embedded in the business model and is tested/validated with potential customers/users, with objectives and possible metrics",5,,The business concept with an embedded sustainability hypothesis is tested/validated with potential customers/users,4,,Your sustainability hypothesis has not been tested/validated with potential customers/users,,703,
703,SRL,Sustainability,A first description of value creation and the need to integrate sustainability into the business idea/business model,3,,Some insight into the benefits of creating a sustainable business model,2,,None or very low awareness of how sustainability affects the planned business,1,,,,,TRUE
